time,exp5b_pdps_imu-Clip__exp5b_audio-L,exp5b_pdps_imu-Clip__exp5b_mpipe-L,exp5b_pdps_imu-Clip__exp5b_audio-R,exp5b_pdps_imu-Clip__exp5b_mpipe-R,exp5b_audio-L__exp5b_mpipe-L,exp5b_audio-L__exp5b_audio-R,exp5b_audio-L__exp5b_mpipe-R,exp5b_mpipe-L__exp5b_audio-R,exp5b_mpipe-L__exp5b_mpipe-R,exp5b_audio-R__exp5b_mpipe-R
126.5,,,,,0.7962281490635196,0.3319820740706775,0.5792543792024989,0.4080734768591784,0.6010133352941384,0.639911473477037
127.0,,,,,0.7931583797901884,0.3307587675382344,0.5505375878320988,0.40180993893803135,0.5447801035709606,0.8175843044769837
127.5,,,,,0.7900804991291117,0.3295641089361418,0.5220928314364234,0.3958807358306182,0.5803565835633395,0.8794530118350472
128.0,,,,,0.7870708986095154,0.32839862352166055,0.47459612437643534,0.3903155341107347,0.4143719024177213,0.7643453747768152
128.5,,,,,0.784201039082673,0.32726282097589676,0.6555083364050945,0.3851406039996537,0.5243899887487841,0.6447574901210316
129.0,,,,,0.7815358117979,0.32615719532659654,0.5480344452215313,0.3803789269383838,0.5357400477361052,0.7432443310061546
129.5,,,,,0.779132483541731,0.32508222488956506,0.5709699538210953,0.3760503495569657,0.6035738421710695,0.7169446070890599
130.0,,,,,0.7770400854465446,0.32403837222764204,0.5400562902453763,0.37217177194011974,0.5165452321164121,0.6844350809192356
130.5,,,,,0.7752991076314475,0.3230260841261624,0.5511048663861436,0.3687573575844586,0.5040476537063596,0.6949042139517996
131.0,,,,,0.7739413781988452,0.3220457915833673,0.5355682715209205,0.3658187523389618,0.4183779100386281,0.7261210002631002
131.5,,,,,0.7729900269966477,0.32109790981554,0.6033431562724707,0.3633653003073746,0.7459376537718949,0.7086226577365622
132.0,,,,,0.7724594572977492,0.32018283827473476,0.48722048523881145,0.3614042455630879,0.4202316521008922,0.7410497262380918
132.5,,,,,0.7723552702096292,0.31930096067849734,0.5590744806981108,0.3599409098089621,0.45443455216231005,0.679496609197015
133.0,,,,,0.7726741070790542,0.318452645050461,0.5399550599877214,0.35897883778486794,0.5210646856767962,0.7412150394627848
133.5,,,,,0.7734033953721011,0.3176382437702868,0.563191375641181,0.3585199037536867,0.59401658572237,0.7149609019583104
134.0,,,,,0.7745210050919558,0.31685809363215467,0.5327747766647959,0.3585643743477395,0.5101423623474067,0.6822057163837637
134.5,,,,,0.7759948476508821,0.31611251591029804,0.5445560257082778,0.3591109247936612,0.5052795200599985,0.6928680935858391
135.0,,,,,0.777782479089755,0.3154018164309407,0.5292081957545318,0.36015660754906187,0.4202690981002887,0.7240473764332267
135.5,,,,,0.7798308058673649,0.31472628564895827,0.5971563465630139,0.3616967741665599,0.7445298864569455,0.7064933246881426
136.0,,,,,0.7820760337246055,0.3140861987285946,0.4812476650894909,0.36372495314744496,0.433032742390527,0.7392992120623136
136.5,,,,,0.7844440447328243,0.31348181562697935,0.5536836633098721,0.36623268837042255,0.4708480235337767,0.6775477202944169
137.0,,,,,0.7868514255366157,0.3129133811794437,0.5343614760024139,0.36920934448118303,0.5420971348069015,0.7393423966141138
137.5,,,,,0.7892073845386107,0.3123811251855924,0.5579116862284708,0.37264188724822045,0.6090037465764537,0.7131411760840648
138.0,,,,,0.7914167632503304,0.3118852624952786,0.5280393550156305,0.3765146484500047,0.538777549458503,0.6801617474778754
138.5,,,,,0.7933842401152487,0.3114259930934724,0.540612778851798,0.38080908606425684,0.541545376481751,0.6910011317650255
139.0,,,,,0.7950196260541753,0.311003502183117,0.5254171941092388,0.3855035514359435,0.45875027475479524,0.7221538247641304
139.5,,,,,0.7962438713326084,0.3106179602652398,0.5933979280876532,0.39057307560359183,0.7435112748767085,0.7045493017852138
140.0,,,,,0.7969951026707001,0.3102695232154461,0.4778650660610424,0.3959891868552563,0.480991681018943,0.7377031105011573
140.5,0.0003095455404686945,0.00024914377560182903,0.49982278136441016,0.13490127817231534,0.7972337949700975,0.3099583323561399,0.5509069184731062,0.40171977095153977,0.5222201453058907,0.6757837597946783
141.0,0.0003262570310010195,0.0002681991700413226,0.49966183177323925,0.3043305603729716,0.7969461719219884,0.3096845145237551,0.5314059864687727,0.40772898403581204,0.5942176369496928,0.7376424188787583
141.5,0.20638899423188353,0.21360761931412076,0.49984381173862463,0.2656942298627884,0.79614518678692,0.30944818213035996,0.5552779641953538,0.4139772261973429,0.6414819656221459,0.7115018543144417
142.0,0.0010786298621299321,0.0011719701372752717,0.4989266386035385,0.2419207034609934,0.7948689091565314,0.3092494332191385,0.5259824381420226,0.42042118089732883,0.5951553385893089,0.6783210205114183
142.5,0.015367572674241183,0.14377776720100752,0.48463506923696753,0.21943617508039565,0.7931766778805338,0.3090883515132181,0.5394108804339,0.42701392214449196,0.6044245978148657,0.6893195156960711
143.0,0.16312059656129746,0.3079107412459233,0.3368313748877694,0.2564570940239655,0.7911437858084742,0.3089650064573961,0.5243195702425827,0.4337050874867649,0.5267337374687892,0.7204568902938724
143.5,0.46251094413151234,0.44814276375008977,0.037431094258402055,0.19102077555038108,0.7888556175992187,0.30887945325241506,0.5921943624290602,0.4404411108788286,0.7430630218765374,0.7028072137942734
144.0,0.4961949435491211,0.42574168807128043,0.0037782763735878977,0.23103517793778422,0.7864020648801717,0.30883173288147625,0.4771736667022374,0.4471655056997942,0.5534247192011095,0.7362753068987574
144.5,0.2970881217655759,0.28805178948328614,0.00023032179446799738,0.2823796668306694,0.7838727845379472,0.3088218721287428,0.5508406621421432,0.45381918462592574,0.5965040881820121,0.6742204550754409
145.0,0.30366548161736723,0.2680552000324793,0.0002855735375470692,0.21383904431634984,0.7813535643403372,0.3088498835896704,0.5311704713564642,0.4603408006538269,0.6613798916077952,0.7361294903257947
145.5,0.3564596223843844,0.20506174973208763,0.00036387301907008743,0.3151268945141884,0.7789238044935317,0.3089157656730306,0.555370251503826,0.46666709267387385,0.674369295800277,0.7100576538240936
146.0,,,,,0.7766549529244783,0.3090195025946242,0.5266713037868109,0.47273322008076946,0.6594747556015862,0.6766994641425982
146.5,,,,,0.7746096437340557,0.3091610643626843,0.5410156770125518,0.47847307558021834,0.6731529026128851,0.6878376601391528
147.0,,,,,0.7728412592553877,0.3093404067550668,0.5259705530978032,0.48381957416627686,0.6030928654985643,0.7189712178386423
147.5,,,,,0.7713936396494636,0.3095574712883645,0.5935970835881443,0.48870493174211777,0.7436456801023735,0.7012817313655748
148.0,,,,,0.7652991578364274,0.30981218517926246,0.47920903514297053,0.5739032896883056,0.7005240987027084,0.7350280200836634
148.5,,,,,0.5320571325080775,0.3101044612983084,0.5535111596385107,0.651465498790828,0.6855030636989778,0.6728715597824169
149.0,,,,,0.5268987755708617,0.31043419811648976,0.533668671870582,0.6633620119725532,0.6952233469108975,0.7348161308741974
149.5,,,,,0.5254365357679349,0.3108012796451516,0.5582040339721613,0.6560224886457418,0.7428818331548254,0.7088213491388053
150.0,,,,,0.759658688193669,0.3112055753695221,0.5301101908013169,0.4955411873310186,0.6894554772067725,0.6753108447192389
150.5,,,,,0.7603812379173797,0.31164694017661454,0.5454228273067053,0.4954003242268126,0.7123367896293279,0.6865679781510363
151.0,,,,,0.76115083925028,0.3121252142779949,0.5303565452497053,0.495259463101532,0.7047163138761068,0.7177093229177464
151.5,,,,,0.7619673877131548,0.31264022312801193,0.5975812747534236,0.49511861061642704,0.7247823598979328,0.6999853429800121
152.0,,,,,0.762830764936115,0.31319177733840775,0.4839412671281331,0.4949777734606565,0.6272885768054036,0.7339716003484176
152.5,,,,,0.7637408381745207,0.3137796725898757,0.5588729056589331,0.4948369583472807,0.6984751368046591,0.6717486380258338
153.0,,,,,0.7646974598013154,0.31440368954155784,0.5388445009512555,0.49469617201807314,0.7173608499572844,0.7337127945847131
153.5,,,,,0.765700466776972,0.31506359373913645,0.563729083668876,0.4945554212327886,0.6974816282834424,0.7078035684719995
154.0,,,,,0.7667496800983133,0.3157591355227251,0.5362861199746308,0.49441471277694027,0.6899313423351475,0.6741665562728927
154.5,,,,,0.7678449042275435,0.3164900499353427,0.5525546957201188,0.4942740534599662,0.7130832221208578,0.6855206840131605
155.0,,,,,0.7689859265029054,0.31725605663277123,0.5373913653439972,0.49413345010606496,0.7054183674391086,0.7166813965312698
155.5,,,,,0.7701725165324433,0.31805685979641796,0.6040415725115198,0.4939929095635015,0.7248976052664213,0.6989281615465437
156.0,,,,,0.7714044255723966,0.3188921480496036,0.4912709501215636,0.4938524386988537,0.6275343925813577,0.7331143575719734
156.5,,,,,0.7726813858918257,0.31976159437870433,0.5668027473910238,0.4937120443955001,0.6991199756630697,0.6708608832526219
157.0,,,,,0.7740031101251094,0.32066485606028394,0.5465659321241921,0.49357173355303496,0.7181513290415833,0.732827701099029
157.5,,,,,0.775369290614002,0.3216015745951981,0.5718243765562881,0.4934315130878168,0.6979366165002105,0.7070126242031297
158.0,,,,,0.776779598740958,0.32257137565097127,0.5460690994761184,0.4932913899307637,0.6905925097405362,0.6732754476004688
158.5,,,,,0.7782336842554877,0.3235738690134823,0.5622524784505634,0.49315137102706547,0.7141083543192255,0.6847036310379842
159.0,,,,,0.7797311745952915,0.3246086485491614,0.546908751045905,0.4930114633325884,0.7063851899163545,0.7158951463311677
159.5,,,,,0.7812716742039559,0.32567529217902846,0.6128051473725337,0.4928716738153257,0.725218349393304,0.6981177680099244
160.0,,,,,0.7828547638469783,0.32677336186554684,0.5010218358111485,0.49273200945717666,0.627921364650813,0.7324624220605556
160.5,,,,,0.5832259796618489,0.3279024036133605,0.5770905129851822,0.6465682345567172,0.7176515727275065,0.6702149739590929
161.0,,,,,0.5737256045257249,0.32906194748545214,0.5566154824822329,0.6657117977833051,0.5985592949815423,0.732166702476815
